"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"67.0","100000.0","4.54887","0.5096","0.9558","0.92018779342723","0.7999999999999999","3","8","25480","47790","2210","24520"
"68.0","100000.0","4.54887","0.45112","0.98116","0.9599114818282407","0.7999999999999999","4","8","22556","49058","942","27444"
"69.0","100000.0","4.54887","0.3627","0.99256","0.9798994974874372","0.7999999999999999","5","8","18135","49628","372","31865"
"70.0","100000.0","4.54887","0.26252","0.99766","0.9911651438495809","0.7999999999999999","6","8","13126","49883","117","36874"
"71.0","100000.0","4.54887","0.18182","0.99962","0.9979143798024149","0.7999999999999999","7","8","9091","49981","19","40909"
"72.0","100000.0","4.54887","0.1206","1.0","1.0","0.7999999999999999","8","8","6030","50000","0","43970"
"73.0","100000.0","4.54887","0.07676","1.0","1.0","0.7999999999999999","9","8","3838","50000","0","46162"
"74.0","100000.0","4.54887","0.04318","1.0","1.0","0.7999999999999999","10","8","2159","50000","0","47841"
"75.0","100000.0","4.54887","0.02242","1.0","1.0","0.7999999999999999","11","8","1121","50000","0","48879"
"76.0","100000.0","4.54887","0.00978","1.0","1.0","0.7999999999999999","12","8","489","50000","0","49511"
"77.0","100000.0","4.54887","0.0039","1.0","1.0","0.7999999999999999","13","8","195","50000","0","49805"
"78.0","100000.0","4.54887","0.00116","1.0","1.0","0.7999999999999999","14","8","58","50000","0","49942"
"79.0","100000.0","4.54887","1.0E-4","1.0","1.0","0.7999999999999999","15","8","5","50000","0","49995"
"80.0","100000.0","4.54887","0.0","1.0","0.0","0.7999999999999999","16","8","0","50000","0","50000"
"81.0","100000.0","4.54887","0.0","1.0","0.0","0.7999999999999999","17","8","0","50000","0","50000"
"82.0","100000.0","4.54887","0.0","1.0","0.0","0.7999999999999999","18","8","0","50000","0","50000"
"83.0","100000.0","4.54887","0.0","1.0","0.0","0.7999999999999999","19","8","0","50000","0","50000"
"84.0","100000.0","4.54887","0.0","1.0","0.0","0.7999999999999999","20","8","0","50000","0","50000"
"85.0","100000.0","4.54887","0.06888","0.97904","0.7666963490650045","0.8999999999999999","0","8","3444","48952","1048","46556"
"86.0","100000.0","4.54887","0.06888","0.97904","0.7666963490650045","0.8999999999999999","1","8","3444","48952","1048","46556"
"87.0","100000.0","4.54887","0.0681","0.99192","0.8939354161197165","0.8999999999999999","2","8","3405","49596","404","46595"
"88.0","100000.0","4.54887","0.06516","0.99504","0.9292641186537365","0.8999999999999999","3","8","3258","49752","248","46742"
"89.0","100000.0","4.54887","0.0592","0.9981","0.9689034369885434","0.8999999999999999","4","8","2960","49905","95","47040"
"90.0","100000.0","4.54887","0.05006","0.99908","0.9819537073362102","0.8999999999999999","5","8","2503","49954","46","47497"
"91.0","100000.0","4.54887","0.03892","0.99962","0.9903307888040712","0.8999999999999999","6","8","1946","49981","19","48054"
"92.0","100000.0","4.54887","0.02942","0.99992","0.9972881355932204","0.8999999999999999","7","8","1471","49996","4","48529"
