"Setup","Samples","MeanDistance","Sensitivity","Specificty","Precision","HaplogrepFilter","HetFilter","Group","TP","TN","FP","FN"
"88.0","500000.0","8.73275","0.591544","0.991724","0.9862025274248941","0.8999999999999999","3","8","147886","247931","2069","102114"
"89.0","500000.0","8.73275","0.590408","0.996888","0.9947567057554927","0.8999999999999999","4","8","147602","249222","778","102398"
"90.0","500000.0","8.73275","0.588156","0.999092","0.9984585715643801","0.8999999999999999","5","8","147039","249773","227","102961"
"91.0","500000.0","8.73275","0.585168","0.999776","0.9996173504250143","0.8999999999999999","6","8","146292","249944","56","103708"
"92.0","500000.0","8.73275","0.580348","0.999976","0.9999586472124775","0.8999999999999999","7","8","145087","249994","6","104913"
"93.0","500000.0","8.73275","0.57466","1.0","1.0","0.8999999999999999","8","8","143665","250000","0","106335"
"94.0","500000.0","8.73275","0.565524","1.0","1.0","0.8999999999999999","9","8","141381","250000","0","108619"
"95.0","500000.0","8.73275","0.554932","1.0","1.0","0.8999999999999999","10","8","138733","250000","0","111267"
"96.0","500000.0","8.73275","0.538428","1.0","1.0","0.8999999999999999","11","8","134607","250000","0","115393"
"97.0","500000.0","8.73275","0.519516","1.0","1.0","0.8999999999999999","12","8","129879","250000","0","120121"
"98.0","500000.0","8.73275","0.492096","1.0","1.0","0.8999999999999999","13","8","123024","250000","0","126976"
"99.0","500000.0","8.73275","0.461112","1.0","1.0","0.8999999999999999","14","8","115278","250000","0","134722"
"100.0","500000.0","8.73275","0.420488","1.0","1.0","0.8999999999999999","15","8","105122","250000","0","144878"
"101.0","500000.0","8.73275","0.377688","1.0","1.0","0.8999999999999999","16","8","94422","250000","0","155578"
"102.0","500000.0","8.73275","0.328208","1.0","1.0","0.8999999999999999","17","8","82052","250000","0","167948"
"103.0","500000.0","8.73275","0.278168","1.0","1.0","0.8999999999999999","18","8","69542","250000","0","180458"
"104.0","500000.0","8.73275","0.229252","1.0","1.0","0.8999999999999999","19","8","57313","250000","0","192687"
"105.0","500000.0","8.73275","0.18598","1.0","1.0","0.8999999999999999","20","8","46495","250000","0","203505"
"106.0","500000.0","8.73275","2.12E-4","0.999932","0.7571428571428571","0.9999999999999999","0","8","53","249983","17","249947"
"107.0","500000.0","8.73275","2.12E-4","0.999932","0.7571428571428571","0.9999999999999999","1","8","53","249983","17","249947"
"108.0","500000.0","8.73275","2.12E-4","0.999952","0.8153846153846154","0.9999999999999999","2","8","53","249988","12","249947"
"109.0","500000.0","8.73275","2.12E-4","0.999952","0.8153846153846154","0.9999999999999999","3","8","53","249988","12","249947"
"110.0","500000.0","8.73275","2.12E-4","0.999956","0.828125","0.9999999999999999","4","8","53","249989","11","249947"
"111.0","500000.0","8.73275","2.08E-4","0.999964","0.8524590163934426","0.9999999999999999","5","8","52","249991","9","249948"
"112.0","500000.0","8.73275","2.04E-4","0.999968","0.864406779661017","0.9999999999999999","6","8","51","249992","8","249949"
"113.0","500000.0","8.73275","1.72E-4","1.0","1.0","0.9999999999999999","7","8","43","250000","0","249957"
"114.0","500000.0","8.73275","1.64E-4","1.0","1.0","0.9999999999999999","8","8","41","250000","0","249959"
"115.0","500000.0","8.73275","1.56E-4","1.0","1.0","0.9999999999999999","9","8","39","250000","0","249961"
"116.0","500000.0","8.73275","1.56E-4","1.0","1.0","0.9999999999999999","10","8","39","250000","0","249961"
"117.0","500000.0","8.73275","1.48E-4","1.0","1.0","0.9999999999999999","11","8","37","250000","0","249963"
"118.0","500000.0","8.73275","1.44E-4","1.0","1.0","0.9999999999999999","12","8","36","250000","0","249964"
"119.0","500000.0","8.73275","1.28E-4","1.0","1.0","0.9999999999999999","13","8","32","250000","0","249968"
"120.0","500000.0","8.73275","1.16E-4","1.0","1.0","0.9999999999999999","14","8","29","250000","0","249971"
"121.0","500000.0","8.73275","1.0E-4","1.0","1.0","0.9999999999999999","15","8","25","250000","0","249975"
"122.0","500000.0","8.73275","9.2E-5","1.0","1.0","0.9999999999999999","16","8","23","250000","0","249977"
"123.0","500000.0","8.73275","6.8E-5","1.0","1.0","0.9999999999999999","17","8","17","250000","0","249983"
"124.0","500000.0","8.73275","6.0E-5","1.0","1.0","0.9999999999999999","18","8","15","250000","0","249985"
